city,aqi,dominant_pollutant,time,pm25,pm10,o3,no2,co,so2,year,month,day,weekday,hour,aqi_category,pm25_norm,pm10_norm,o3_norm,no2_norm,co_norm,so2_norm
London,63,pm25,2025-06-07,12.05,5.68,8.14,-1.0,-1.0,-1.0,2025,6,7,Saturday,0,Moderate,0.1296986115814426,0.05181437543614794,0.25,0,0,0
London,60,pm25,2025-06-09,10.1,5.91,8.63,-1.0,-1.0,-1.0,2025,6,9,Monday,0,Moderate,0.06366407043684386,0.055826936496859735,0.27740492170022374,0,0,0
London,62,pm25,2025-06-11,15.47,7.34,14.48,-1.0,-1.0,-1.0,2025,6,11,Wednesday,0,Moderate,0.24551303758889265,0.08077459874389392,0.6045861297539149,0,0,0
London,59,pm25,2025-06-13,13.98,7.88,11.37,-1.0,-1.0,-1.0,2025,6,13,Friday,0,Moderate,0.1950558753809685,0.09019539427773901,0.43064876957494397,0,0,0
London,63,pm25,2025-06-15,12.73,5.7,13.0,-1.0,-1.0,-1.0,2025,6,15,Sunday,0,Moderate,0.15272604131391804,0.052163293789253315,0.5218120805369126,0,0,0
London,62,pm25,2025-06-17,9.59,5.38,11.4,-1.0,-1.0,-1.0,2025,6,17,Tuesday,0,Moderate,0.04639349813748727,0.04658060013956734,0.43232662192393734,0,0,0
"Berlin, Germany",59,pm25,2025-06-12,12.52,5.77,13.21,-1.0,-1.0,-1.0,2025,6,12,Thursday,0,Moderate,0.14561462919065354,0.05338450802512212,0.5335570469798657,0,0,0
"Berlin, Germany",62,pm25,2025-06-14,18.12,8.53,10.6,-1.0,-1.0,-1.0,2025,6,14,Saturday,0,Moderate,0.3352522858110396,0.10153524075366363,0.3875838926174496,0,0,0
"Berlin, Germany",62,pm25,2025-06-16,17.68,9.82,7.21,-1.0,-1.0,-1.0,2025,6,16,Monday,0,Moderate,0.32035218421943784,0.12404047452896023,0.19798657718120802,0,0,0
"Berlin, Germany",62,pm25,2025-06-18,11.96,4.61,7.58,-1.0,-1.0,-1.0,2025,6,18,Wednesday,0,Moderate,0.12665086352861496,0.033147243545010474,0.21868008948545858,0,0,0
"Berlin, Germany",59,pm25,2025-06-20,22.88,10.66,7.33,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.4964442939383677,0.1386950453593859,0.2046979865771812,0,0,0
"Berlin, Germany",59,pm25,2025-06-22,26.52,12.69,13.52,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.6197087707416186,0.1741102581995813,0.5508948545861296,0,0,0
"Berlin, Germany",58,pm25,2025-06-24,33.22,14.1,18.38,-1.0,-1.0,-1.0,2025,6,24,Tuesday,0,Moderate,0.8465966813410091,0.19870900209351014,0.8227069351230424,0,0,0
Madrid,93,pm25,2025-06-20,32.27,25.39,11.7,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.8144260074500509,0.39567341242149334,0.44910514541387014,0,0,0
Madrid,97,pm25,2025-06-22,28.59,41.21,10.64,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.6898069759566542,0.6716678297278437,0.38982102908277405,0,0,0
Madrid,92,pm25,2025-06-24,21.81,58.24,9.56,-1.0,-1.0,-1.0,2025,6,24,Tuesday,0,Moderate,0.4602099559769725,0.9687718073970691,0.32941834451901564,0,0,0
